Instances,Source,Push0_Max,Push_max,PAR_Max,PAR0_Max,P2R_Max,P2R0_Max,Pseudo_Max,algo_Push,algo_PAR,algo_P2R,algo_Pseudo,x_PushROC,x_PARROC,x_P2RROC,x_PseudoROC,feature_Nodes,feature_Arcs,feature_Density,feature_CapDens,feature_AvNdDgr,feature_TrivialEtraFlw,feature_PrcNetPotPth,feature_EstMinPrcDepFlw,feature_PerBdCap,feature_PerGdCap,feature_StDAC,feature_OutlMxCap,feature_OutlMnCap,feature_CapAvNddg,feature_RlCapAvNddg,feature_RlPotNetExcess,feature_AVRlPotNetExcess
Netgen_n10000_d0.60_c1000000_1,Netgen,3057563458,3057563458,3057563458,3057563458,3057563458,3057563458,3057563458,5.43,1.14,1.21,0.764,43736,31909,30051,21232,10000,59994000,0.6,299894.832,5999.4,259579134,0.000111,6076.9742,0.50013,0.49987,288666.483,2.0007,2.00E-06,2998948320,2998.9483,14427445.39,1442.8888
Netgen_n10000_d0.60_c1000000_2,Netgen,2016009893,2016009893,2016009893,2016009893,2016009893,2016009893,2016009893,1.78,0.67,0.89,0.005,22618,19713,18402,9592,10000,59994000,0.6,299979.8465,5999.4,0,6.70E-05,5964.2542,0.49999,0.50001,288647.4862,2.0001,2.00E-06,2999798465,2999.7985,14343365.81,1434.48
Netgen_n10000_d0.60_c1000000_3,Netgen,3008752025,3008752025,3008752025,3008752025,3008752025,3008752025,3008752025,5.31,1.13,1.27,0.271,38022,31407,29280,15495,10000,59994000,0.6,299956.9913,5999.4,128413605,0.000105,6061.6127,0.50006,0.49994,288629.2597,2.0003,2.00E-06,2999569913,2999.5699,14581726.47,1458.3185
Netgen_n10000_d0.60_c1000000_4,Netgen,2996384897,2996384897,2996384897,2996384897,2996384897,2996384897,2996384897,6.18,1.21,1.46,0.236,78639,28402,27640,17964,10000,59994000,0.6,299994.0165,5999.4,1366025999,0.000145,5971.9847,0.49995,0.50005,288677.8141,2,2.00E-06,2999940165,2999.9402,14415363.03,1441.6805
Netgen_n10000_d0.60_c1000000_5,Netgen,480375276,480375276,480375276,480375276,480375276,480375276,480375276,1.08,0.32,0.51,0.002,5696,4509,4241,2456,10000,59994000,0.6,299992.0835,5999.4,0,1.60E-05,5851.612,0.49999,0.50001,288645.5376,2.0001,2.00E-06,2999920835,2999.9208,14513231.49,1451.4683
Netgen_n10000_d0.60_c10000000_1,Netgen,30101006061,30101006061,30101006061,30101006061,30101006061,30101006061,30101006061,8.08,1.17,1.74,0.179,57522,31352,29414,19516,10000,59994000,0.6,2996851.52,5999.4,6595511047,0.000122,5996.6391,0.50015,0.49985,2886217.191,2.0021,0,29968515196,2996.8515,14465331.58,1446.6778
Netgen_n10000_d0.60_c10000000_2,Netgen,29927822266,29927822266,29927822266,29927822266,29927822266,29927822266,0,9.91,1.21,2.02,0.608,102052,28769,28004,36539,10000,59994000,0.6,2997189.894,5999.4,18361665089,0.000161,6003.4799,0.50008,0.49992,2885592.765,2.0019,0,29971898942,2997.1899,14419003.18,1442.0445
Netgen_n10000_d0.60_c10000000_3,Netgen,23591832155,23591832155,23591832155,23591832155,23591832155,23591832155,23591832155,2.43,0.75,1.29,0.006,28921,24571,23037,13719,10000,59994000,0.6,2997059.413,5999.4,0,7.90E-05,5975.066,0.50015,0.49985,2885580.253,2.002,0,29970594130,2997.0594,14489299.02,1449.0748
Netgen_n10000_d0.60_c10000000_4,Netgen,29816467391,29816467391,29816467391,29816467391,29816467391,29816467391,29816467391,7.98,1.16,1.22,0.224,54390,31166,29432,19046,10000,59994000,0.6,2996645.631,5999.4,5875179577,0.000119,5987.0095,0.50012,0.49988,2885859.83,2.0022,0,29966456306,2996.6456,14532566.58,1453.402
Netgen_n10000_d0.60_c10000000_5,Netgen,30210869666,30210869666,30210869666,30210869666,30210869666,30210869666,0,8.56,1.22,1.37,0.792,106262,28713,27884,47241,10000,59994000,0.6,2997145.828,5999.4,19969740669,0.000167,5972.5177,0.50009,0.49991,2885747.797,2.0019,0,29971458278,2997.1458,14511825.96,1451.3277
Netgen_n10000_d0.70_c1000_1,Netgen,4180999,4180999,4180999,4180999,4180999,4180999,4180999,7.43,1.59,3.52,0.648,98897,38431,43433,31546,10000,69993000,0.7,419.3607,6999.3,1492833,0.000135,7390.7139,0.59891,0.40109,8251.957,1152.5895,0.001669,4193606.606,6.0733,12240136.19,1224.136
Netgen_n10000_d0.70_c1000_2,Netgen,1095317,1095317,1095317,1095317,1095317,1095317,1095317,1.54,0.51,0.95,0.003,11114,9553,8390,4948,10000,69993000,0.7,400.3106,6999.3,0,2.70E-05,4371.1514,0.57093,0.42907,5977.0076,874.3211,0.001749,4003105.889,8.0062,13008957.4,1301.0258
Netgen_n10000_d0.70_c1000_3,Netgen,3839281,3839281,3839281,3839281,3839281,3839281,3839281,7.42,1.49,2.95,1.092,88719,34634,32678,46824,10000,69993000,0.7,381.2159,6999.3,1471217,0.000139,7178.1238,0.54397,0.45603,3701.0976,567.799,0.001836,3812159.13,12.3283,13610788.44,1361.215
Netgen_n10000_d0.70_c1000_4,Netgen,3781696,3781696,3781696,3781696,3781696,3781696,3781696,6.52,1.41,2.68,1.039,49031,37022,34038,23667,10000,69993000,0.7,376.9031,6999.3,297947,0.000108,7102.5137,0.53795,0.46205,3186.5764,494.0597,0.001857,3769030.584,14.1683,13663502.24,1366.4869
Netgen_n10000_d0.70_c1000_5,Netgen,3989738,3989738,3989738,3989738,3989738,3989738,3989738,6.87,1.49,2.39,0.925,62122,38640,35611,30199,10000,69993000,0.7,400.8303,6999.3,366017,0.000109,7061.71,0.57196,0.42804,6042.2624,882.7332,0.001746,4008302.69,7.9299,12812264.6,1281.3546
Netgen_n10000_d0.70_c10000_1,Netgen,22535670,22535670,22535670,22535670,22535670,22535670,22535670,2.09,0.75,1.43,0.005,22590,20631,19460,8272,10000,69993000,0.7,3542.7326,6999.3,0,6.40E-05,6856.1615,0.50594,0.49406,5801.4789,84.1832,0.000198,35427325.65,83.152,14482070.83,1448.3519
Netgen_n10000_d0.70_c10000_2,Netgen,35774734,35774734,35774734,35774734,35774734,35774734,35774734,6.57,1.38,2.19,0.992,47992,34775,32581,24898,10000,69993000,0.7,3597.6415,6999.3,3731367,0.00011,7025.5644,0.51385,0.48615,11987.5088,190.3803,0.000195,35976415.4,36.7685,14238966.89,1424.0391
Netgen_n10000_d0.70_c10000_3,Netgen,36361748,36361748,36361748,36361748,36361748,36361748,36361748,7.35,1.42,2.35,0.999,82766,32014,32028,40577,10000,69993000,0.7,3578.4607,6999.3,14230421,0.000141,7072.747,0.51108,0.48892,9755.8641,153.4994,0.000196,35784606.82,45.6028,14342579.96,1434.4014
Netgen_n10000_d0.70_c10000_4,Netgen,35509152,35509152,35509152,35509152,35509152,35509152,35509152,6.45,1.35,2.19,0.693,42994,34450,32237,18142,10000,69993000,0.7,3551.4282,6999.3,2331435,0.000107,6960.8282,0.50721,0.49279,6778.5501,102.1297,0.000197,35514282.41,68.5403,14400943.71,1440.2384
Netgen_n10000_d0.70_c10000_5,Netgen,35673988,35673988,35673988,35673988,35673988,35673988,35673988,6.73,1.38,2.13,0.977,54881,33740,31921,25926,10000,69993000,0.7,3575.8434,6999.3,5902511,0.000116,7028.4003,0.51075,0.48925,9476.7508,148.8207,0.000196,35758433.92,47.0365,14442316.84,1444.3761
Netgen_n10000_d0.70_c100000_1,Netgen,270999544,270999544,270999544,270999544,270999544,270999544,270999544,2.29,0.84,1.17,0.006,27540,25583,24005,10059,10000,69993000,0.7,35031.731,6999.3,0,7.70E-05,7083.1809,0.50039,0.49961,29102.441,7.214,2.00E-05,350317309.6,970.3382,14627796.47,1462.9259
Netgen_n10000_d0.70_c100000_2,Netgen,78471365,78471365,78471365,78471365,78471365,78471365,78471365,1.38,0.42,0.58,0.003,7857,6800,6596,2775,10000,69993000,0.7,35048.1901,6999.3,0,2.20E-05,6954.2878,0.50061,0.49939,29405.839,10.3642,2.00E-05,350481901.4,675.4012,14683809.83,1468.5278
Netgen_n10000_d0.70_c100000_3,Netgen,166834298,166834298,166834298,166834298,166834298,166834298,166834298,1.83,0.63,0.88,0.004,16629,15189,14469,5924,10000,69993000,0.7,35027.787,6999.3,0,4.80E-05,7002.3513,0.50027,0.49973,29025.3932,6.076,2.00E-05,350277870.4,1152.0745,14691873.13,1469.3342
Netgen_n10000_d0.70_c100000_4,Netgen,283058757,283058757,283058757,283058757,283058757,283058757,283058757,2.36,0.86,1.16,0.006,28682,26583,24929,10727,10000,69993000,0.7,35041.2574,6999.3,0,8.10E-05,6999.9345,0.50061,0.49939,29359.1896,9.9882,2.00E-05,350412573.8,700.8251,14665779.07,1466.7246
Netgen_n10000_d0.70_c100000_5,Netgen,354594207,354594207,354594207,354594207,354594207,354594207,354594207,6.49,1.35,1.8,0.61,44132,34130,32176,18591,10000,69993000,0.7,35026.608,6999.3,27331133,0.000109,7023.0501,0.50036,0.49964,29077.3111,6.854,2.00E-05,350266079.8,1021.303,14650753.37,1465.2219
Netgen_n10000_d0.70_c1000000_1,Netgen,3504155889,3504155889,3504155889,3504155889,3504155889,3504155889,3504155889,7.29,1.42,1.49,0.332,85414,31267,30405,18795,10000,69993000,0.7,349999.6093,6999.3,1486476314,0.000143,7012.7308,0.50003,0.49997,288682.9215,2,2.00E-06,3499996093,3499.9961,14675310.05,1467.6778
Netgen_n10000_d0.70_c1000000_2,Netgen,3501319775,3501319775,3501319775,3501319775,3501319775,3501319775,3501319775,6.41,1.35,1.35,0.28,47289,35258,33117,18005,10000,69993000,0.7,349886.3433,6999.3,322629617,0.000109,7073.6296,0.50007,0.49993,288684.5926,2.0006,2.00E-06,3498863433,3498.8634,14648937.01,1465.0402
Netgen_n10000_d0.70_c1000000_3,Netgen,2777132252,2777132252,2777132252,2777132252,2777132252,2777132252,2777132252,2.28,1.13,1.11,0.006,29142,26877,24963,11003,10000,69993000,0.7,350018.0471,6999.3,0,7.90E-05,7040.9209,0.49999,0.50001,288667.375,1.9999,2.00E-06,3500180471,3500.1805,14635115.27,1463.6579
Netgen_n10000_d0.70_c1000000_4,Netgen,3121316298,3121316298,3121316298,3121316298,3121316298,3121316298,3121316298,2.47,1.31,1.22,0.007,32815,30215,28276,12748,10000,69993000,0.7,349970.4534,6999.3,0,8.90E-05,6948.8598,0.49999,0.50001,288674.4325,2.0002,2.00E-06,3499704534,3499.7045,14614340.12,1461.5802
Netgen_n10000_d0.70_c1000000_5,Netgen,3485218395,3485218395,3485218395,3485218395,3485218395,3485218395,3485218395,7.44,1.43,1.74,0.329,87471,31878,30866,21112,10000,69993000,0.7,349902.2926,6999.3,1504562386,0.000143,7011.9772,0.5001,0.4999,288737.7209,2.0006,2.00E-06,3499022926,3499.0229,14511330.64,1451.2782
Netgen_n10000_d0.70_c10000000_1,Netgen,34991532748,34991532748,34991532748,34991532748,34991532748,34991532748,34991532748,7.31,1.39,2.35,0.4,86928,32133,31176,20695,10000,69993000,0.7,3496742.355,6999.3,14513545226,0.000142,7062.9976,0.50014,0.49986,2885453.842,2.0019,0,34967423552,3496.7424,14706740.66,1470.8211
Netgen_n10000_d0.70_c10000000_2,Netgen,34220309395,34220309395,34220309395,34220309395,34220309395,34220309395,0,7.38,1.42,2.06,0.502,92623,31485,30524,24335,10000,69993000,0.7,3496770.874,6999.3,16079342155,0.000144,6951.4815,0.50013,0.49987,2885515.443,2.0018,0,34967708740,3496.7709,14537827.1,1453.9281
Netgen_n10000_d0.70_c10000000_3,Netgen,34922889778,34922889778,34922889778,34922889778,34922889778,34922889778,34922889778,7.28,1.42,1.99,0.38,87284,32038,31194,21047,10000,69993000,0.7,3496313.13,6999.3,14787713155,0.000142,7032.9327,0.50017,0.49983,2885817.399,2.0021,0,34963131304,3496.3131,14611210.44,1461.2672
Netgen_n10000_d0.70_c10000000_4,Netgen,34730237086,34730237086,34730237086,34730237086,34730237086,34730237086,0,7.38,1.43,2.13,0.458,89742,31931,30731,23428,10000,69993000,0.7,3496285.419,6999.3,15422599746,0.000143,6970.863,0.50021,0.49979,2885578.081,2.0021,0,34962854193,3496.2854,14687967.16,1468.9436
Netgen_n10000_d0.70_c10000000_5,Netgen,20117423430,20117423430,20117423430,20117423430,20117423430,20117423430,20117423430,1.95,0.72,1.25,0.005,22453,19582,18295,9997,10000,69993000,0.7,3496936.496,6999.3,0,5.80E-05,7028.2017,0.50007,0.49993,2885876.947,2.0018,0,34969364959,3496.9365,14644242.4,1464.5707
Netgen_n10000_d0.80_c1000_1,Netgen,4843761,4843761,4843761,4843761,4843761,4843761,4843761,8.06,1.82,3.05,0.837,87740,43470,44907,48154,10000,79992000,0.8,485.3285,7999.2,1022623,0.000121,8272.4232,0.60593,0.39407,9497.9579,1400.5227,0.001648,4853285.219,5.7122,10540758.7,1054.1813
Netgen_n10000_d0.80_c1000_2,Netgen,4226535,4226535,4226535,4226535,4226535,4226535,4226535,6.27,1.29,1.59,0.046,44093,39273,36992,17707,10000,79992000,0.8,462.9898,7999.2,0,9.10E-05,7856.0747,0.57796,0.42204,7003.9794,1082.41,0.001728,4629897.959,7.3909,11039978.56,1104.1083
Netgen_n10000_d0.80_c1000_3,Netgen,4255730,4255730,4255730,4255730,4255730,4255730,4255730,8.12,1.69,1.76,0.828,71448,36956,35199,31751,10000,79992000,0.8,422.7008,7999.2,983650,0.000124,8067.1594,0.52793,0.47207,2505.8006,422.3072,0.001893,4227008.465,18.9436,12212054.06,1221.3275
Netgen_n10000_d0.80_c1000_4,Netgen,4149016,4149016,4149016,4149016,4149016,4149016,4149016,6.29,1.26,1.95,0.046,43298,39496,35637,18786,10000,79992000,0.8,435.9566,7999.2,0,9.50E-05,7924.4291,0.54388,0.45612,3983.3283,652.9972,0.001835,4359565.526,12.2512,11767241.44,1176.8418
Netgen_n10000_d0.80_c1000_5,Netgen,4461489,4461489,4461489,4461489,4461489,4461489,4461489,8.15,1.72,1.76,0.833,78701,39740,37041,39295,10000,79992000,0.8,450.3652,7999.2,1046041,0.000122,8176.65,0.56189,0.43811,5591.9586,888.168,0.001776,4503652.387,9.0073,11425326.57,1142.6469
Netgen_n10000_d0.80_c10000_1,Netgen,40640436,40640436,40640436,40640436,40640436,40640436,40640436,8.18,1.64,1.72,0.839,68929,35454,33758,30487,10000,79992000,0.8,4092.7516,7999.2,10010502,0.000124,8079.7013,0.51145,0.48855,10724.0183,181.5498,0.000195,40927515.63,44.065,12545209.32,1254.6464
Netgen_n10000_d0.80_c10000_2,Netgen,40761575,40761575,40761575,40761575,40761575,40761575,40761575,8.08,1.61,1.67,0.835,67983,35551,34044,28584,10000,79992000,0.8,4067.8438,7999.2,9657136,0.000124,8067.5181,0.50838,0.49162,8077.6022,133.6897,0.000197,40678437.89,59.8401,12547598.58,1254.8853
Netgen_n10000_d0.80_c10000_3,Netgen,35958700,35958700,35958700,35958700,35958700,35958700,35958700,2.85,1.04,1.64,0.005,34179,32845,30688,11747,10000,79992000,0.8,4051.623,7999.2,0,8.90E-05,7975.7959,0.50631,0.49369,6392.8727,101.7269,0.000197,40516229.91,78.6419,12709760.74,1271.1032
Netgen_n10000_d0.80_c10000_4,Netgen,40140904,40140904,40140904,40140904,40140904,40140904,40140904,7.78,1.59,1.69,0.819,54954,36223,34195,23894,10000,79992000,0.8,4038.4271,7999.2,5655994,0.000113,8080.9724,0.50473,0.49527,5130.2275,76.1384,0.000198,40384271.27,105.0719,12729722.57,1273.0996
Netgen_n10000_d0.80_c10000_5,Netgen,28558176,28558176,28558176,28558176,28558176,28558176,28558176,2.49,0.89,1.11,0.003,26390,25181,23770,8800,10000,79992000,0.8,4037.1799,7999.2,0,7.10E-05,7969.4119,0.50452,0.49548,5039.6094,74.2102,0.000198,40371798.96,107.8019,12746830.19,1274.8105
Netgen_n10000_d0.80_c100000_1,Netgen,394734180,394734180,394734180,394734180,394734180,394734180,394734180,8.19,1.6,2.06,0.235,70767,34029,33159,16047,10000,79992000,0.8,40047.7852,7999.2,105891947,0.000125,7998.9395,0.50047,0.49953,29299.7576,9.9881,2.00E-05,400477852.5,800.9557,12776681.12,1277.7959
Netgen_n10000_d0.80_c100000_2,Netgen,397378324,397378324,397378324,397378324,397378324,397378324,397378324,8.19,1.6,2.23,0.835,70559,34326,33128,29388,10000,79992000,0.8,40045.3919,7999.2,105706654,0.000126,7959.3686,0.50046,0.49954,29300.1026,9.9887,2.00E-05,400453919.1,800.9078,12807209.36,1280.849
Netgen_n10000_d0.80_c100000_3,Netgen,398611237,398611237,398611237,398611237,398611237,398611237,398611237,7.56,1.56,2.17,0.529,47485,38052,35806,21142,10000,79992000,0.8,39996.734,7999.2,25245013,0.000106,7937.7833,0.50001,0.49999,28870.4408,2.0002,2.00E-05,399967340,3999.6734,12748404.99,1274.968
Netgen_n10000_d0.80_c100000_4,Netgen,152474189,152474189,152474189,152474189,152474189,152474189,152474189,1.87,0.63,0.72,0.003,13884,13147,12593,4432,10000,79992000,0.8,40089.5177,7999.2,0,3.80E-05,7998.5309,0.50107,0.49893,30479.1955,18.4523,2.00E-05,400895176.6,433.5511,12869564.35,1287.0851
Netgen_n10000_d0.80_c100000_5,Netgen,261063498,261063498,261063498,261063498,261063498,261063498,261063498,2.43,0.85,1.21,0.004,24635,23374,22107,8249,10000,79992000,0.8,40001.6643,7999.2,0,6.50E-05,8040.2853,0.49994,0.50006,28867.9748,1.9999,2.00E-05,400016643.2,4000.1664,12824941.5,1282.6224
Netgen_n10000_d0.80_c1000000_1,Netgen,1898457911,1898457911,1898457911,1898457911,1898457911,1898457911,1898457911,2.08,0.72,0.88,0.003,17845,16763,15888,5935,10000,79992000,0.8,399968.0183,7999.2,0,4.70E-05,8018.8805,0.50001,0.49999,288639.3559,2.0002,2.00E-06,3999680183,3999.6802,12739207.75,1274.0482
Netgen_n10000_d0.80_c1000000_2,Netgen,4037403156,4037403156,4037403156,4037403156,4037403156,4037403156,4037403156,7.94,1.58,1.71,0.347,61457,35603,34248,19215,10000,79992000,0.8,399983.6092,7999.2,753510002,0.00012,8043.3647,0.4999,0.5001,288659.8445,2.0001,2.00E-06,3999836092,3999.8361,12726256.49,1272.7529
Netgen_n10000_d0.80_c1000000_3,Netgen,4049892110,4049892110,4049892110,4049892110,4049892110,4049892110,4049892110,8.11,1.59,1.89,0.237,68826,34730,33604,16032,10000,79992000,0.8,399958.122,7999.2,991177121,0.000126,7933.3986,0.50004,0.49996,288684.5386,2.0002,2.00E-06,3999581220,3999.5812,12863862.72,1286.5149
Netgen_n10000_d0.80_c1000000_4,Netgen,4003277753,4003277753,4003277753,4003277753,4003277753,4003277753,4003277753,8.12,1.61,1.9,0.834,69634,34778,33399,28933,10000,79992000,0.8,399941.7472,7999.2,1007061629,0.000125,7981.7296,0.50004,0.49996,288674.8146,2.0003,2.00E-06,3999417472,3999.4175,12814480.76,1281.5762
Netgen_n10000_d0.80_c1000000_5,Netgen,1340288952,1340288952,1340288952,1340288952,1340288952,1340288952,1340288952,1.79,0.6,0.92,0.002,12594,11780,11272,4108,10000,79992000,0.8,399943.2366,7999.2,0,3.40E-05,8122.745,0.50002,0.49998,288653.4755,2.0003,2.00E-06,3999432366,3999.4324,12748583.32,1274.9858
Netgen_n10000_d0.80_c10000000_1,Netgen,26193550831,26193550831,26193550831,26193550831,26193550831,26193550831,26193550831,2.41,0.87,1.65,0.005,25741,24266,22877,10425,10000,79992000,0.8,3996033.847,7999.2,0,6.60E-05,8034.2294,0.50015,0.49985,2885898.087,2.002,0,39960338469,3996.0338,12781141.95,1278.242
Netgen_n10000_d0.80_c10000000_2,Netgen,40200330916,40200330916,40200330916,40200330916,40200330916,40200330916,40200330916,7.87,1.58,1.63,0.427,59287,36489,34777,18919,10000,79992000,0.8,3996025.344,7999.2,6764936436,0.000118,8010.8157,0.50019,0.49981,2885674.67,2.002,0,39960253444,3996.0253,12789788.56,1279.1068
Netgen_n10000_d0.80_c10000000_3,Netgen,39489562131,39489562131,39489562131,39489562131,39489562131,39489562131,39489562131,7.44,1.55,1.58,0.395,44360,38364,35853,17821,10000,79992000,0.8,3995575.188,7999.2,1460213675,0.000103,7994.9402,0.50016,0.49984,2885992.46,2.0022,0,39955751882,3995.5752,12830716.17,1283.1999
Netgen_n10000_d0.80_c10000000_4,Netgen,21243659512,21243659512,21243659512,21243659512,21243659512,21243659512,21243659512,2.19,0.77,0.95,0.006,21388,19496,18415,8938,10000,79992000,0.8,3996097.232,7999.2,0,5.30E-05,8045.7991,0.50014,0.49986,2886160.465,2.002,0,39960972321,3996.0972,12824345.13,1282.5628
Netgen_n10000_d0.80_c10000000_5,Netgen,28344525699,28344525699,28344525699,28344525699,28344525699,28344525699,28344525699,2.51,0.91,1.16,0.007,28054,26356,24758,11224,10000,79992000,0.8,3996641.577,7999.2,0,7.10E-05,8089.4028,0.50012,0.49988,2885640.241,2.0017,0,39966415766,3996.6416,12792785.84,1279.4065
Netgen_n10000_d0.90_c1000_1,Netgen,5036280,5036280,5036280,5036280,5036280,5036280,5036280,13.37,2.16,2.22,0.937,66096,43440,42001,32394,10000,89991000,0.9,500.3801,8999.1,417749,0.000109,9173.6873,0.55499,0.44501,5273.0636,899.3164,0.001799,5003800.52,10.0076,7301327.334,730.2058
Netgen_n10000_d0.90_c1000_2,Netgen,4762667,4762667,4762667,4762667,4762667,4762667,4762667,12.96,2.17,2.15,0.934,57790,40782,38339,26244,10000,89991000,0.9,474.1727,8999.1,482638,0.000111,9039.1421,0.52593,0.47407,2515.6372,450.9369,0.001898,4741727.336,19.9584,7690908.069,769.1677
Netgen_n10000_d0.90_c1000_3,Netgen,4985132,4985132,4985132,4985132,4985132,4985132,4985132,8.72,2.11,2.21,0.924,65549,44028,42047,32330,10000,89991000,0.9,500.4223,8999.1,515659,0.00011,9096.4697,0.5559,0.4441,5273.0638,899.2405,0.001798,5004222.793,10.0084,7305561.626,730.6292
Netgen_n10000_d0.90_c1000_4,Netgen,3141147,3141147,3141147,3141147,3141147,3141147,3141147,3.66,1.1,1.26,0.004,27490,26654,24533,9116,10000,89991000,0.9,512.225,8999.1,0,6.10E-05,8241.9908,0.56889,0.43111,6515.683,1085.9019,0.001757,5122249.86,8.288,7129301.144,713.0014
Netgen_n10000_d0.90_c1000_5,Netgen,4283711,4283711,4283711,4283711,4283711,4283711,4283711,4.29,1.32,1.7,0.005,38762,37254,34953,12260,10000,89991000,0.9,453.5355,8999.1,0,9.40E-05,8963.1144,0.50287,0.49713,431.3205,61.3301,0.001984,4535355.016,146.7467,8015822.618,801.6624
Netgen_n10000_d0.90_c10000_1,Netgen,8092685,8092685,8092685,8092685,8092685,8092685,8092685,1.75,0.49,0.57,0.002,6909,6641,6313,1802,10000,89991000,0.9,4550.0926,8999.1,0,1.80E-05,8619.4023,0.50541,0.49459,5962.9449,98.8991,0.000198,45500926.08,91.0019,7998571.049,799.9371
Netgen_n10000_d0.90_c10000_2,Netgen,45587335,45587335,45587335,45587335,45587335,45587335,45587335,10.46,1.78,1.9,0.622,46973,40786,37795,17984,10000,89991000,0.9,4596.9666,8999.1,1767727,0.000103,9098.765,0.51069,0.48931,10589.551,190.2172,0.000196,45969665.82,47.3143,7907836.932,790.8628
Netgen_n10000_d0.90_c10000_3,Netgen,17107295,17107295,17107295,17107295,17107295,17107295,17107295,2.41,0.73,0.82,0.003,14465,14147,13635,4105,10000,89991000,0.9,4550.4541,8999.1,0,3.80E-05,8732.9328,0.50547,0.49453,5962.8919,98.8912,0.000198,45504540.66,91.0091,7966924.19,796.7721
Netgen_n10000_d0.90_c10000_4,Netgen,44707243,44707243,44707243,44707243,44707243,44707243,44707243,11.94,1.83,1.95,0.921,55430,38343,37039,22377,10000,89991000,0.9,4529.6348,8999.1,5401100,0.000111,9038.8782,0.50314,0.49686,4227.0818,59.2017,0.000199,45296348.41,152.0226,8055906.836,805.6713
Netgen_n10000_d0.90_c10000_5,Netgen,36633738,36633738,36633738,36633738,36633738,36633738,36633738,3.51,1.16,1.44,0.004,32624,31525,29562,9750,10000,89991000,0.9,4550.0131,8999.1,0,8.10E-05,8945.8022,0.50539,0.49461,5962.9266,98.9008,0.000198,45500131.19,91.0003,7983975.477,798.4774
Netgen_n10000_d0.90_c100000_1,Netgen,448732971,448732971,448732971,448732971,448732971,448732971,448732971,8.97,1.83,2.45,0.26,54083,38309,36569,15201,10000,89991000,0.9,45042.1301,8999.1,52107365,0.000111,8992.5116,0.50048,0.49952,29251.4807,9.9906,2.00E-05,450421300.7,900.8426,8120203.793,812.1016
Netgen_n10000_d0.90_c100000_2,Netgen,405421185,405421185,405421185,405421185,405421185,405421185,405421185,3.27,1.21,1.57,0.005,36182,35284,32745,11268,10000,89991000,0.9,45044.6763,8999.1,0,9.00E-05,8854.8115,0.50045,0.49955,29253.0564,9.9901,2.00E-05,450446763.4,900.8935,8103266.508,810.4077
Netgen_n10000_d0.90_c100000_3,Netgen,86884480,86884480,86884480,86884480,86884480,86884480,86884480,1.71,0.54,0.55,0.002,7429,7197,6905,1899,10000,89991000,0.9,45020.3602,8999.1,0,1.90E-05,8917.7632,0.50015,0.49985,28935.5312,4.7886,2.00E-05,450203602.4,1879.482,8076195.995,807.7004
Netgen_n10000_d0.90_c100000_4,Netgen,33596951,33596951,33596951,33596951,33596951,33596951,33596951,1.4,0.35,0.36,0.002,2887,2790,2716,780,10000,89991000,0.9,45088.8777,8999.1,0,7.00E-06,8897.8747,0.50094,0.49906,30368.5321,18.8652,2.00E-05,450888777,477.0694,8042249.977,804.3054
Netgen_n10000_d0.90_c100000_5,Netgen,385898071,385898071,385898071,385898071,385898071,385898071,385898071,3.19,1.11,1.44,0.005,33636,32732,30533,10025,10000,89991000,0.9,45047.5614,8999.1,0,8.60E-05,8933.2722,0.50045,0.49955,29251.0522,9.9894,2.00E-05,450475613.6,900.9512,8050476.642,805.1282
Netgen_n10000_d0.90_c1000000_1,Netgen,4482865714,4482865714,4482865714,4482865714,4482865714,4482865714,4482865714,8.73,1.82,1.83,0.268,55992,38589,36659,15961,10000,89991000,0.9,449958.3493,8999.1,546471278,0.000112,8945.8778,0.49999,0.50001,288639.9787,2.0002,2.00E-06,4499583493,4499.5835,8023108.481,802.3911
Netgen_n10000_d0.90_c1000000_2,Netgen,1020387612,1020387612,1020387612,1020387612,1020387612,1020387612,1020387612,1.74,0.53,0.96,0.002,8617,8260,7936,2443,10000,89991000,0.9,449911.3478,8999.1,0,2.30E-05,8845.0925,0.50005,0.49995,288682.0163,2.0004,2.00E-06,4499113478,4499.1135,8098758.454,809.9568
Netgen_n10000_d0.90_c1000000_3,Netgen,87649494,87649494,87649494,87649494,87649494,87649494,87649494,1.23,0.27,0.28,0.002,730,701,696,214,10000,89991000,0.9,449961.6056,8999.1,0,2.00E-06,8213.8506,0.50002,0.49998,288666.2703,2.0002,2.00E-06,4499616056,4499.6161,8095393.035,809.6203
Netgen_n10000_d0.90_c1000000_4,Netgen,4339567918,4339567918,4339567918,4339567918,4339567918,4339567918,4339567918,3.44,1.27,1.68,0.006,40100,38632,36224,13379,10000,89991000,0.9,449914.5532,8999.1,0,9.60E-05,8985.5375,0.50003,0.49997,288684.6217,2.0004,2.00E-06,4499145532,4499.1455,8065229.803,806.6036
Netgen_n10000_d0.90_c1000000_5,Netgen,2668833380,2668833380,2668833380,2668833380,2668833380,2668833380,2668833380,2.57,0.92,1.11,0.004,23109,22447,21562,7340,10000,89991000,0.9,449928.1458,8999.1,0,5.90E-05,8886.6926,0.50009,0.49991,288670.8913,2.0003,2.00E-06,4499281458,4499.2815,8058505.36,805.9311
