Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
AK_262142(K_1k),AK,0.013,2.779,1.599,0.017,262142,393211,1.5,1.90E-05,85.331,7.00E-06
AK_268435454(K_1k),AK,13.677,3425.527,1961.843,19.15,268435454,402653179,1.5,0,2730.6666,0
AK_32766(K_1k),AK,0.001,0.163,0.103,0.003,32766,49147,1.4999,0.000144,30.1633,5.30E-05
AK_33554430(K_1k),AK,1.667,391.306,210.888,2.096,33554430,50331643,1.5,0,965.4363,0
AK_4094(K_1k),AK,0,0.009,0.008,0.002,4094,6139,1.4995,0.000437,10.648,0.000427
AK_4194302(K_1k),AK,0.193,45.649,25.269,0.261,4194302,6291451,1.5,1.00E-06,341.3327,0
AK_524286(K_1k),AK,0.025,5.88,3.272,0.033,524286,786427,1.5,1.00E-05,120.6779,3.00E-06
AK_65534(K_1k),AK,0.003,0.372,0.219,0.004,65534,98299,1.5,7.50E-05,42.662,2.70E-05
AK_67108862(K_1k),AK,3.336,742.005,413.486,4.619,67108862,100663291,1.5,0,1365.3332,0
AK_8190(K_1k),AK,0,0.024,0.019,0.002,8190,12283,1.4998,0.000423,15.0718,0.000214
AK_8388606(K_1k),AK,0.433,100.731,55.888,0.557,8388606,12582907,1.5,1.00E-06,482.7178,0
AK_1048574(K_1m),AK,502.221,1390.094,907.945,418.371,1048574,1572859,1.5,1.10E-05,170.6655,0
AK_131070(K_1m),AK,6.219,13.63,8.099,2.61,131070,196603,1.5,0.000784,60.3365,0
AK_2046(K_1m),AK,0.002,0.002,0.002,0,2046,3067,1.499,0.61065,7.5161,2.00E-06
AK_2097150(K_1m),AK,2327.054,6648.599,3312.478,1887.889,2097150,3145723,1.5,2.00E-06,241.3583,0
AK_262142(K_1m),AK,26.679,89.393,47.687,13.15,262142,393211,1.5,0.000193,85.331,0
AK_4094(K_1m),AK,0.006,0.009,0.008,0.002,4094,6139,1.4995,0.39144,10.648,1.00E-06
AK_524286(K_1m),AK,114.233,352.257,194.224,72.069,524286,786427,1.5,4.70E-05,120.6779,0
AK_65534(K_1m),AK,1.529,2.91,1.699,0.562,65534,98299,1.5,0.003154,42.662,0
AK_8190(K_1m),AK,0.024,0.032,0.027,0.007,8190,12283,1.4998,0.1606,15.0718,1.00E-06
AK_131070(_10m),AK,6.242,16.925,10.107,2.671,131070,196603,1.5,0.007886,60.3365,0
AK_16382(_10m),AK,0.096,0.15,0.107,0.029,16382,24571,1.4999,0.30395,21.324,0
AK_32766(_10m),AK,0.398,0.697,0.444,0.119,32766,49147,1.4999,0.10912,30.1633,0
AK_4094(_10m),AK,0.006,0.009,0.008,0.002,4094,6139,1.4995,0.68718,10.648,1.00E-06
AK_4194302(_10m),AK,8404.561,24658.179,13143.314,7333.274,4194302,6291451,1.5,7.00E-06,341.3327,0
AK_8190(_10m),AK,0.024,0.033,0.027,0.007,8190,12283,1.4998,0.54881,15.0718,0
AK_2046(100k),AK,0.001,0.002,0.002,0,2046,3067,1.499,0.22794,7.5161,6.00E-06
AK_4094(100k),AK,0.006,0.009,0.008,0.002,4094,6139,1.4995,0.073501,10.648,5.00E-06
AK_n14638_C1000000(Pool),AK,0.075,0.112,0.082,0.022,14638,21955,1.4999,0.058888,20.1561,0
AK_n1594322_C10000000(Pool),AK,1453.341,4715.706,1851.81,1342.804,1594322,2391481,1.5,5.30E-05,210.4433,0
AK_n1594322_C100000(Pool),AK,0.105,1496.961,1073.728,32.76,1594322,2391481,1.5,3.00E-06,210.4433,1.00E-06
AK_n177146_C10000000(Pool),AK,12.175,40.888,25.406,5.657,177146,265717,1.5,0.004335,70.1454,0
